key,summary,description,environment,status,resolution,priority,technology,category,error_signature,root_cause,resolution_steps,evidence_logs,components,labels,affected_service,pipeline_job,knowledge_article,created,resolved
DEVOPS-1001,ImagePullBackOff por credenciales expiradas de registry,Incidente sintético de PoC relacionado con imagepullbackoff por credenciales expiradas de registry. Se requiere triage y diagnóstico inicial.,UAT,Done,Fixed,High,Kubernetes,Containers / Registry,Failed to pull image: unauthorized: authentication required | ImagePullBackOff,El imagePullSecret contenía credenciales expiradas para el registry privado.,Se confirmó imagen/tag; se renovó la credencial mediante el proceso autorizado; se actualizó el imagePullSecret y se verificó un pull exitoso.,Failed to pull image: unauthorized: authentication required,Kubernetes,containers;kubernetes;registry,api-clientes,deploy-uat / deploy,KB-001,2026-01-12T09:14:00,2026-01-12T10:34:00
DEVOPS-1002,ImagePullBackOff por imagePullSecret inexistente,Incidente sintético de PoC relacionado con imagepullbackoff por imagepullsecret inexistente. Se requiere triage y diagnóstico inicial.,DEV,Done,Fixed,Medium,Kubernetes,Containers / Registry,FailedToRetrieveImagePullSecret | ErrImagePull | ImagePullBackOff,El namespace nuevo no tenía el imagePullSecret requerido y el ServiceAccount no lo referenciaba.,Se verificó el ServiceAccount; se creó el secret autorizado; se asoció y se validó el pull.,FailedToRetrieveImagePullSecret,Kubernetes,containers;kubernetes;registry,portal-api,deploy-dev / deploy,KB-001,2026-01-20T10:14:00,2026-01-20T12:41:00
DEVOPS-1003,CrashLoopBackOff por variable de entorno faltante,Incidente sintético de PoC relacionado con crashloopbackoff por variable de entorno faltante. Se requiere triage y diagnóstico inicial.,UAT,Done,Fixed,High,Kubernetes,Runtime / Configuration,Application startup failed: DB_SCHEMA is missing | CrashLoopBackOff,La variable DB_SCHEMA requerida no estaba definida en el ConfigMap de UAT.,Se revisaron logs previos; se comparó configuración DEV/UAT; se agregó DB_SCHEMA por el proceso autorizado y se validó readiness.,Application startup failed: DB_SCHEMA is missing,Kubernetes,configuration;kubernetes;runtime,boveda-api,deploy-uat / deploy,KB-002,2026-01-28T11:14:00,2026-01-28T14:48:00
DEVOPS-1004,CrashLoopBackOff por endpoint de base de datos incorrecto,Incidente sintético de PoC relacionado con crashloopbackoff por endpoint de base de datos incorrecto. Se requiere triage y diagnóstico inicial.,UAT,Done,Fixed,High,Kubernetes,Runtime / Configuration,SQLRecoverableException: could not establish the connection | CrashLoopBackOff,El host de base de datos configurado en UAT no correspondía al endpoint autorizado.,Se comparó configuración con inventario; se corrigió el valor mediante el proceso de secretos y se verificó estabilidad.,SQLRecoverableException: could not establish the connection,Kubernetes,configuration;kubernetes;runtime,estado-cuenta-api,deploy-uat / deploy,KB-002,2026-02-05T12:14:00,2026-02-05T13:55:00
DEVOPS-1005,OOMKilled por límite de memoria insuficiente,Incidente sintético de PoC relacionado con oomkilled por límite de memoria insuficiente. Se requiere triage y diagnóstico inicial.,UAT,Done,Fixed,High,Kubernetes,Resources / Capacity,Reason: OOMKilled | Exit Code: 137,El límite de 512Mi era inferior al pico observado durante el procesamiento.,Se confirmó OOMKilled; se revisó consumo; se ajustaron requests/limits con evidencia de carga y se repitió la prueba.,Reason: OOMKilled,Kubernetes,capacity;kubernetes;resources,reportes-api,deploy-uat / smoke-test,KB-003,2026-02-13T13:14:00,2026-02-13T16:02:00
DEVOPS-1006,OOMKilled por heap Java sin margen de memoria nativa,Incidente sintético de PoC relacionado con oomkilled por heap java sin margen de memoria nativa. Se requiere triage y diagnóstico inicial.,DEV,Done,Fixed,Medium,Kubernetes / Java,Resources / Capacity,OOMKilled | Exit Code 137 | Java process,El heap máximo de JVM no dejaba margen suficiente para memoria nativa dentro del límite del contenedor.,Se revisó configuración JVM y límite; se redujo el heap máximo y se repitió carga controlada.,OOMKilled,Kubernetes; Java,capacity;java;kubernetes;resources,calculo-api,deploy-dev / load-test,KB-003,2026-02-21T09:14:00,2026-02-21T12:34:00
DEVOPS-1007,Pipeline Maven falla por pruebas unitarias,Incidente sintético de PoC relacionado con pipeline maven falla por pruebas unitarias. Se requiere triage y diagnóstico inicial.,CI,Done,Fixed,Medium,Maven / GitHub Actions,CI/CD / Tests,There are test failures | BUILD FAILURE | UserServiceTest,Un cambio en UserService alteró el comportamiento esperado y el test quedó desactualizado.,Se revisó el primer test fallido; se reprodujo localmente; se corrigió código/test y el pipeline posterior pasó.,There are test failures,Maven; GitHub Actions,cd;ci;github-actions;maven;tests,usuarios-api,ci / unit-tests,KB-004,2026-03-01T10:14:00,2026-03-01T11:41:00
DEVOPS-1008,Pipeline Maven falla por dependencia no resoluble,Incidente sintético de PoC relacionado con pipeline maven falla por dependencia no resoluble. Se requiere triage y diagnóstico inicial.,CI,Done,Fixed,High,Maven / CI/CD,CI/CD / Dependencies,Could not resolve dependencies | artifact not found,El runner no estaba usando el repositorio corporativo correcto.,Se confirmó existencia del artefacto; se corrigió la configuración de repositorio del runner y se reejecutó el build.,Could not resolve dependencies,Maven; CI/CD,cd;ci;dependencies;maven,derivados-api,ci / build,KB-004,2026-03-09T11:14:00,2026-03-09T13:48:00
DEVOPS-1009,Quality Gate de SonarQube falla por cobertura en código nuevo,Incidente sintético de PoC relacionado con quality gate de sonarqube falla por cobertura en código nuevo. Se requiere triage y diagnóstico inicial.,CI,Done,Fixed,Medium,SonarQube / CI/CD,CI/CD / Quality,QUALITY GATE STATUS: FAILED | Coverage on New Code is 42.3%,Archivos nuevos quedaron sin pruebas y la cobertura cayó por debajo del umbral.,Se revisó la condición fallida; se agregaron pruebas; se ejecutó un nuevo análisis y el gate pasó.,QUALITY GATE STATUS: FAILED,SonarQube; CI/CD,cd;ci;quality;sonarqube,portal-backend,ci / sonar,KB-005,2026-03-17T12:14:00,2026-03-17T15:55:00
DEVOPS-1010,SonarQube reporta cobertura 0 por lcov ausente,Incidente sintético de PoC relacionado con sonarqube reporta cobertura 0 por lcov ausente. Se requiere triage y diagnóstico inicial.,CI,Done,Fixed,Medium,SonarQube / Angular,CI/CD / Quality,No LCOV files were found using sonar.javascript.lcov.reportPaths,La ruta configurada no coincidía con el lcov.info generado.,Se verificó la generación del archivo; se corrigió la ruta; se reejecutó scanner y se validó importación.,No LCOV files were found using sonar.javascript.lcov.reportPaths,SonarQube; Angular,angular;cd;ci;quality;sonarqube,portal-web,ci / sonar,KB-005,2026-03-25T13:14:00,2026-03-25T15:02:00
